train_acc,train_loss,val_acc,val_loss
0.03608421052631579,4.3630185,0.0708,4.001269
0.08776842105263159,3.917585,0.1052,3.7560046
0.12442105263157895,3.678511,0.1512,3.512255
0.16069473684210525,3.4650059,0.1816,3.3509786
0.19353684210526317,3.2817142,0.2088,3.2088907
0.2208421052631579,3.1482725,0.21960000000000002,3.1849062
0.2421263157894737,3.0429454,0.24359999999999998,3.0788388
0.25625263157894734,2.9671476,0.2508,2.9814956
0.26410526315789473,2.9175813,0.262,2.9511907
0.26839999999999997,2.889279,0.2576,2.9655867
